Cluster,Line,name,type,area,floor,el1,el2,case,transfer,lift,old,disable,good,exDis,total,x좌표,y좌표
1,2,선릉역,상대식,4153,2,1,2,2,NA,NA,1998056,381831,32209,17053559,19433446,37.504503,127.049008
2,2,역삼역,상대식,6674,3,1,1,1,NA,NA,1444072,354517,27003,14547492,16346081,37.500622,127.036456
1,2,강남역,상대식,4018,2,1,3,3,NA,NA,1527566,432200,37250,34785418,36745184,37.497175,127.027926
1,2,교대역,상대식,6307,2,1,1,1,0,1,1637512,275460,31489,11304054,13217026,37.493415,127.01408
1,2,서초역,상대식,5202,2,1,2,2,NA,NA,833725,155409,16571,7202368,8191502,37.491897,127.007917
1,2,방배역,상대식,3796,2,1,1,1,NA,NA,813166,146046,17932,6573770,7532982,37.481426,126.997596
1,2,사당역,상대식,7285,2,1,1,1,1,0,1972401,361631,34901,13034947,15368979,37.47653,126.981685
1,2,낙성대역,상대식,3631,2,1,1,1,NA,NA,1077588,237026,16659,9824627,11139241,37.47693,126.963693
1,2,서울대입구역,섬식,4679,2,1,2,2,NA,NA,2038213,439222,34994,16814946,19292381,37.481247,126.952739
1,2,봉천역,섬식,3491,2,1,1,1,NA,NA,1388693,345546,15937,6798503,8532742,37.482362,126.941892
1,2,신림역,섬식,4309,2,1,1,1,NA,NA,2253205,590176,33894,22910325,25753706,37.484201,126.929715
1,2,신대방역,상대식,3342,2,1,1,1,NA,NA,1248378,313701,15810,8918205,10480284,37.487462,126.913149
1,2,구로디지털단지역,상대식,3411,2,1,1,1,NA,NA,1515903,453907,33413,20829257,22799067,37.485266,126.901401
1,2,대림역,상대식,7053,2,1,2,2,0,1,1100660,266846,14788,9759084,11126590,37.49297,126.895801
1,2,신도림역,복합식,11880,2,1,2,2,NA,NA,1907090,502462,38620,19907383,22316935,37.508725,126.891295
2,2,도림천역,섬식,3191,3,1,1,1,NA,NA,59099,14972,482,321393,395464,37.514287,126.882768
1,2,양천구청역,상대식,2337,2,1,1,1,NA,NA,441240,93195,5415,2020317,2554752,37.512398,126.865819
2,2,신정네거리역,상대식,5091,3,1,1,1,NA,NA,626301,140672,6821,2819656,3586629,37.520074,126.852912
1,2,문래역,상대식,3916,2,1,1,1,NA,NA,804505,172710,11959,5888157,6865372,37.517933,126.89476
1,2,영등포구청역,상대식,4283,2,1,1,1,0,2,986689,262019,17577,6617816,7866524,37.52497,126.895951
1,2,당산역,상대식,3635,2,1,1,1,NA,NA,630267,163419,12714,7000974,7794660,37.53438,126.902281
1,2,합정역,상대식,7263,2,1,2,2,1,0,679772,187313,11038,11144393,12011478,37.549463,126.913739
1,2,홍대입구역,섬식,5829,2,1,1,1,NA,NA,1032492,315337,20879,27327600,28675429,37.557192,126.925381
1,2,신촌역,상대식,5570,2,1,1,1,NA,NA,1355182,319586,16495,16474384,18149152,37.555134,126.936893
1,2,이대역,섬식,4276,2,1,1,1,NA,NA,694613,119646,4661,6545279,7359538,37.556733,126.946013
1,2,아현역,상대식,4984,2,1,1,1,NA,NA,629621,132594,4985,3021717,3783932,37.557345,126.956141
2,2,충정로역,섬식,6752,3,1,1,1,1,0,493631,131660,6564,3573183,4198474,37.559973,126.963672
2,2,용답역,상대식,625,2,0.5,0,0,NA,NA,157986,41449,1462,824781,1024216,37.561904,127.050899
1,3,지축역,섬식,449,2,1,1,1,NA,NA,102532,19797,743,320842,443171,37.648048,126.913951
