Cluster,Line,name,type,area,floor,el1,el2,case,transfer,lift,old,disable,good,exDis,total,x좌표,y좌표
1,4,한성대입구역,섬식,3246,2,1,2,2,NA,NA,797744,144907,10961,5174262,6116913,37.588458,127.006221
1,4,혜화역,상대식,3598,2,1,2,2,NA,NA,1225607,344867,19419,14022808,15593282,37.582336,127.001844
1,4,동대문역,섬식,7851,4,1,2,2,0,1,1493679,340853,17084,7422850,9257382,37.57142,127.009745
2,4,동대문역사문화공원역,섬식,8602,3,1,0,0,0,3,588871,172075,11402,7795761,8556707,37.565138,127.007896
2,4,충무로역,상대식,9134,3,1,1,1,0,1,1215973,292597,23368,10199426,11707996,37.561243,126.99428
2,4,명동역,섬식,4591,4,0,0,0,NA,NA,683928,193817,12569,13714728,14592473,37.560989,126.986325
2,4,회현역,섬식,6790,4,1,1,1,NA,NA,2179579,313729,16913,8606023,11099331,37.558514,126.978246
1,4,서울역,섬식,5833,2,1,1,1,NA,NA,348066,121530,8047,4043578,4513174,37.554648,126.972559
1,4,숙대입구역,상대식,3748,2,1,1,1,NA,NA,536088,157049,10135,5504944,6198081,37.54456,126.972106
1,4,삼각지역,상대식,4787,2,1,2,2,1,0,311392,66465,8568,1516318,1894175,37.534777,126.97311
1,4,신용산역,상대식,3631,2,1,1,1,NA,NA,444871,122947,11050,4267180,4834998,37.52917,126.967894
1,4,이촌역,상대식,3747,2,1,3,3,NA,NA,475676,73488,6656,3022154,3571318,37.522272,126.974345
2,4,동작역,상대식,8747,3,1,1,1,NA,NA,222798,26310,3778,955237,1204345,37.502971,126.979306
1,4,총신대입구역,상대식,5589,2,1,2,2,NA,NA,1458514,221844,17596,6366059,8046417,37.486263,126.981989
2,4,사당역,섬식,11591,3,1,1,1,1,0,915324,183332,21484,9777406,10876062,37.47653,126.981685
2,4,남태령역,섬식,4171,3,1,1,1,NA,NA,95126,18275,1431,873099,986500,37.463873,126.989134
1,5,방화역,복합식,5100,2,1,1,1,NA,NA,437745,130151,3862,2217927,2785823,37.577446,126.812741
1,5,개화산역,상대식,5718,2,1,1,1,NA,NA,304426,110929,3748,1767692,2183047,37.572399,126.806171
2,5,김포공항역,상대식,7522,3,1,1,1,NA,NA,255085,80511,5353,2536093,2871689,37.562434,126.801058
1,5,송정역,상대식,4206,3,1,2,2,NA,NA,614074,118233,10422,2706591,3438898,37.561184,126.811973
1,5,마곡역,상대식,4427,2,1,2,2,NA,NA,208482,68937,6141,1947559,2224978,37.560183,126.825448
1,5,발산역,상대식,4433,2,1,1,1,NA,NA,573641,191354,8745,4402011,5167006,37.558598,126.837668
1,5,우장산역,상대식,3634,2,1,1,1,NA,NA,790012,150599,12245,4785653,5726264,37.548768,126.836318
1,5,화곡역,섬식,7145,2,1,1,1,NA,NA,1308556,341856,17622,9154696,10805108,37.541513,126.840461
2,5,까치산역,복합식,5111,5,0,0,0,NA,NA,1458476,360170,18073,9153355,10972001,37.531768,126.846683
2,5,신정역,상대식,4826,3,1,1,1,NA,NA,539557,154554,10732,4616700,5310811,37.524997,126.856191
1,5,목동역,상대식,5365,2,1,1,1,NA,NA,798254,186967,14786,5751152,6736373,37.526065,126.864931
2,5,오목교역,상대식,9947,3,1,1,1,NA,NA,797980,203610,12521,8149324,9150914,37.524496,126.875181
2,5,양평역,상대식,7713,5,1,1,1,NA,NA,266923,61297,3111,1905850,2234070,37.525648,126.885778
2,5,영등포구청역,상대식,20239,4,1,1,1,0,2,187060,43202,3207,1108016,1338278,37.52497,126.895951
2,5,영등포시장역,상대식,10353,6,1,2,2,NA,NA,726498,155475,9365,2278156,3160129,37.522669,126.905139
2,5,신길역,상대식,8071,4,1,1,1,NA,NA,115179,33170,2607,994749,1143098,37.517122,126.917169
1,5,여의도역,상대식,10198,4,1,2,2,NA,NA,476461,146189,15415,7599417,8222067,37.521624,126.924191
2,5,여의나루역,섬식,8276,5,1,1,1,NA,NA,293010,72914,5704,3900124,4266048,37.527098,126.932901
2,5,마포역,섬식,6198,5,1,1,1,NA,NA,640729,114466,11530,4335784,5090979,37.539574,126.945932
1,5,공덕역,섬식,9684,3,1,2,2,1,0,430540,105093,9821,4257305,4792938,37.544018,126.951592
1,5,애오개역,상대식,5497,4,1,2,2,NA,NA,377632,93876,4179,2151088,2622596,37.553736,126.95682
2,5,충정로역,섬식,9495,5,1,1,1,1,0,171932,42110,2280,1455148,1669190,37.559973,126.963672
2,5,서대문역,섬식,5977,4,1,1,1,NA,NA,654952,146351,28253,5420171,6221474,37.565773,126.966641
2,5,광화문역,섬식,8416,4,0,0,0,NA,NA,798950,223918,21639,12422471,13445339,37.571026,126.976669
2,5,종로3가역,섬식,6662,5,0,0,0,0,4,1248241,193748,25401,3841749,5283738,37.571607,126.991806
2,5,동대문역사문화공원역,섬식,6575,5,1,0,0,0,3,98957,21206,1166,914525,1034688,37.565138,127.007896
2,5,신금호역,섬식,6238,4,2,1,2,NA,NA,357725,76966,4679,1751894,2186585,37.554548,127.020331
1,5,행당역,상대식,6751,8,1,2,2,NA,NA,478371,88204,5730,2513569,3080144,37.557322,127.029476
2,5,왕십리역,상대식,12838,5,1,2,2,0.5,0.5,231839,68259,4079,1601028,1901126,37.561533,127.037732
2,5,마장역,상대식,5147,5,1,0,0,NA,NA,435856,79002,7961,1779009,2293867,37.5661,127.042973
1,5,답십리역,상대식,5982,3,1,2,2,NA,NA,792688,194795,11996,5187003,6174486,37.566747,127.052704
1,5,장한평역,섬식,8453,3,1,2,2,NA,NA,919257,219876,13537,5665157,6804290,37.56144,127.064623
1,5,군자역,섬식,7352,3,2,2,4,1,0,337938,115782,6930,3607664,4061384,37.557121,127.079542
1,5,아차산역,상대식,4819,2,1,1,1,NA,NA,896865,200129,14558,4477491,5574485,37.551691,127.089761
1,5,광나루역,상대식,5765,3,1,2,2,NA,NA,656759,112405,11346,4498712,5267876,37.545303,127.10357
2,5,천호역,상대식,9920,3,1,1,1,1,0,1376407,278178,99725,5936761,7591346,37.538397,127.123572
2,5,강동역,복합식,15965,3,0.33,1,0.33,NA,NA,912393,212341,19018,5940224,7064958,37.535804,127.132481
2,5,길동역,상대식,3302,4,1,1,1,NA,NA,581781,118921,6057,2086167,2786869,37.537801,127.140004
2,5,굽은다리역,상대식,3012,3,1,1,1,NA,NA,610411,137441,9948,2858884,3606736,37.545477,127.142853
1,5,명일역,상대식,3284,2,1,1,1,NA,NA,619903,108779,6814,2299710,3028392,37.55137,127.143999
1,5,고덕역,상대식,4002,2,1,2,2,NA,NA,625717,119270,6093,2762144,3507131,37.555004,127.154151
1,5,둔촌동역,상대식,3560,2,1,1,1,NA,NA,743350,132674,15393,3531485,4407509,37.527788,127.136248
1,5,올림픽공원역,상대식,5768,3,1,2,2,NA,NA,361971,51216,4864,1920256,2333443,37.516078,127.130848
1,5,방이역,상대식,3926,2,1,2,2,NA,NA,424378,75707,4769,2128678,2628763,37.508857,127.126133
1,5,개롱역,상대식,4560,2,1,1,1,NA,NA,419578,92605,4245,1980037,2492220,37.498079,127.13482
1,5,거여역,상대식,4738,2,1,1,1,NA,NA,476154,116349,5563,1902205,2494708,37.493105,127.14415
2,5,마천역,상대식,4127,4,0.5,0,0,NA,NA,449517,113540,6377,1348084,1911141,37.49499,127.152781
1,5,청구역,섬식,4014,4,1,2,2,1,0,264401,52004,3806,1180174,1496579,37.560245,127.013828
2,5,상일동역,복합식,5229,2,0,0,0,NA,NA,577309,142537,15853,3512707,4232553,37.556712,127.166417
1,5,오금역,상대식,5097,3,1,2,2,1,0,164073,38251,2374,1131439,1333763,37.502162,127.128111
2,5,을지로4가역,섬식,9382,5,1,1,1,0,2,423653,70324,7876,1308439,1802416,37.566941,126.998079
1,6,응암역,섬식,4799,2,1,1,1,NA,NA,1055821,249532,12912,5245269,6550622,37.598605,126.915577
2,6,역촌역,섬식,4592,4,1,1,1,NA,NA,346308,63676,3526,1007371,1417355,37.606021,126.922744
2,6,불광역,섬식,6712,4,2,1,2,0,1,404717,85840,4157,1598536,2089093,37.610469,126.929887
2,6,독바위역,섬식,4167,6,1,1,1,NA,NA,204684,39295,1389,839868,1083847,37.618456,126.933031
2,6,구산역,상대식,3183,4,1,0,0,NA,NA,554267,108731,4191,2350913,3013911,37.611377,126.91727
1,6,새절역,복합식,4569,2,0.33,1,0.33,NA,NA,846748,171192,10572,4040456,5058396,37.591148,126.913629
1,6,증산역,상대식,3736,2,1,2,2,NA,NA,668986,152923,7250,3057086,3878995,37.583876,126.909645
1,6,디지털미디어시티역,상대식,6807,2,1,1,1,NA,NA,548767,135385,10183,4489544,5173696,37.576646,126.900984
1,6,월드컵경기장역,상대식,8910,2,1,1,1,NA,NA,605152,106527,7219,2073786,2785465,37.569532,126.899298
1,6,마포구청역,상대식,6302,3,1,2,2,NA,NA,737272,220920,10535,4079100,5037292,37.563515,126.903343
1,6,망원역,상대식,3618,2,1,1,1,NA,NA,832802,164325,7938,3996433,4993560,37.556094,126.910052
2,6,합정역,상대식,8794,4,1,1,1,1,0,380586,93413,5802,4983008,5457007,37.549463,126.913739
2,6,상수역,섬식,4182,3,1,0,0,NA,NA,226810,48461,3950,3776913,4052184,37.547716,126.922852
2,6,광흥창역,섬식,5693,3,1,1,1,NA,NA,597453,92619,6125,2806101,3496173,37.547456,126.931993
2,6,대흥역,섬식,7001,2,1,0,0,NA,NA,436190,88985,6223,2547184,3072359,37.547771,126.942069
1,6,공덕역,상대식,6532,3,1,2,2,1,0,696311,152411,12198,5614969,6463691,37.544018,126.951592
2,6,효창공원앞역,섬식,4772,3,1,0,0,NA,NA,407342,84188,4879,2171607,2663137,37.539261,126.961351
2,6,삼각지역,섬식,12004,4,2,1,2,1,0,204962,41466,9134,2514564,2760992,37.534777,126.97311
2,6,녹사평역,섬식,8635,5,1,1,1,NA,NA,203900,42244,3165,2457157,2703301,37.534675,126.986695
2,6,이태원역,섬식,5865,5,1,1,1,NA,NA,344367,79776,7232,5948559,6372702,37.534488,126.994302
2,6,한강진역,상대식,7051,4,1,1,1,NA,NA,130249,36610,2318,2514935,2681794,37.539631,127.001725
2,6,버티고개역,상대식,3649,4,1,1,1,NA,NA,149737,20430,1342,737632,907799,37.548013,127.007055
2,6,약수역,상대식,7184,2,1.5,0,0,0,1,233084,42813,2570,1065874,1341771,37.55434,127.010655
1,6,청구역,상대식,3377,4,1,2,2,1,0,181076,41026,1966,1167129,1389231,37.560245,127.013828
2,6,신당역,섬식,15211,3,1,1,1,0,2,373246,88580,4663,2651485,3113311,37.565972,127.01782
2,6,동묘앞역,섬식,11257,3,1,0,0,1,0,641726,140751,9739,2558357,3340834,37.572627,127.016429
2,6,창신역,섬식,5045,4,1,1,1,NA,NA,170955,34798,2866,1089922,1295675,37.579661,127.015241
2,6,보문역,섬식,4604,3,1,0,0,NA,NA,356616,77788,4450,2600875,3035279,37.585286,127.019381
2,6,안암역,상대식,6523,3,1,1,1,NA,NA,297548,77967,2883,4644791,5020306,37.586272,127.029005
1,6,고려대역,상대식,7444,4,1,2,2,NA,NA,335203,73991,4522,3122063,3531257,37.590508,127.036296
2,6,월곡역,상대식,4663,3,1,1,1,NA,NA,719189,150996,8183,3893252,4763437,37.601948,127.041518
2,6,상월곡역,상대식,7146,3,0,1,0,NA,NA,371382,82287,5970,1839470,2293139,37.606377,127.048491
1,6,돌곶이역,상대식,4275,2,1,1,1,NA,NA,608986,129446,7307,2721950,3460382,37.610537,127.056431
1,6,석계역,상대식,9763,3,1,2,2,NA,NA,718448,161228,10294,3980408,4860084,37.614805,127.065851
2,6,태릉입구역,상대식,7643,4,1,1,1,1,0,259846,63121,3983,1633960,1956927,37.617983,127.07512
1,6,화랑대역,상대식,7497,2,1,1,1,NA,NA,430429,108259,8586,4278964,4817652,37.620064,127.084689
1,6,봉화산역,상대식,6837,2,0,2,0,NA,NA,495606,113204,11874,2890480,3499290,37.617283,127.091401
1,7,장암역,상대식,504,1,1,1,1,NA,NA,76792,20732,2548,823611,921135,37.700109,127.053196
1,7,도봉산역,상대식,4626,2,1,1,1,NA,NA,382224,97465,10393,2935873,3415562,37.689313,127.046222
2,7,수락산역,복합식,8135,3,0,1,0,NA,NA,858025,187829,17974,4178107,5223961,37.67785,127.055315
1,7,마들역,섬식,7495,3,1,3,3,NA,NA,724710,161185,13283,3572861,4458756,37.66494,127.057675
2,7,노원역,섬식,11370,3,1,1,1,0,0,1055986,275307,17351,6347657,7678950,37.655128,127.061368
1,7,중계역,섬식,7104,3,1,2,2,NA,NA,783785,290111,31179,4726461,5800357,37.644583,127.064303
1,7,하계역,섬식,7161,3,1,2,2,NA,NA,979121,276870,13845,6186786,7442777,37.636352,127.06799
2,7,공릉역,상대식,6386,4,1,1,1,NA,NA,621050,168346,9385,3964467,4753863,37.625742,127.072896
2,7,태릉입구역,상대식,12651,4,1,1,1,1,0,375146,102569,6902,2932686,3410401,37.617983,127.07512
2,7,먹골역,상대식,7295,3,1,1,1,NA,NA,556257,138813,8067,3236301,3931371,37.610637,127.077725
2,7,중화역,상대식,7020,3,1,1,1,NA,NA,547141,157785,10035,3434392,4139318,37.602545,127.079264
1,7,상봉역,상대식,7251,3,2,1,2,NA,NA,657419,185382,13960,5465465,6308266,37.596362,127.085032
2,7,면목역,상대식,6774,4,1,1,1,NA,NA,795325,208226,10115,4883072,5886623,37.588579,127.087503
2,7,사가정역,상대식,6172,4,1,1,1,NA,NA,883294,208875,10727,4724392,5816561,37.580894,127.088478
2,7,용마산역,상대식,6233,4,1,1,1,NA,NA,319487,98553,2838,1927899,2345939,37.573647,127.086727
2,7,중곡역,상대식,4292,3,1,1,1,NA,NA,537451,177870,7677,3039079,3754400,37.565923,127.08432
1,7,군자역,상대식,5677,3,1,2,2,1,0,728210,168668,9267,4412633,5309511,37.557121,127.079542
1,7,어린이대공원역,상대식,7808,3,1,2,2,NA,NA,428278,116176,5968,5436454,5980908,37.548014,127.074658
2,7,뚝섬유원지역,상대식,3302,3,1,1,1,NA,NA,410922,89424,5016,2938546,3438892,37.53154,127.066704
