Cluster,Line,name,type,area,floor,el1,el2,case,transfer,lift,old,disable,honor,exDis,total,x좌표,y좌표
1,2,영등포구청역,상대식,4283,2,1,1,1,0,2,986689,2.62019,17577,0.6617816,7866524,37.52497,126.895951
1,2,당산역,상대식,3635,2,1,1,1,NA,NA,630267,1.63419,12714,0.7000974,7794660,37.53438,126.902281
1,2,합정역,상대식,7263,2,1,2,2,1,0,679772,1.87313,11038,1.1144393,12011478,37.549463,126.913739
1,2,홍대입구역,섬식,5829,2,1,1,1,NA,NA,1032492,3.15337,20879,2.73276,28675429,37.557192,126.925381
1,2,신촌역,상대식,5570,2,1,1,1,NA,NA,1355182,3.19586,16495,1.6474384,18149152,37.555134,126.936893
1,2,이대역,섬식,4276,2,1,1,1,NA,NA,694613,1.19646,4661,0.6545279,7359538,37.556733,126.946013
1,2,아현역,상대식,4984,2,1,1,1,NA,NA,629621,1.32594,4985,0.3021717,3783932,37.557345,126.956141
2,2,충정로역,섬식,6752,3,1,1,1,1,0,493631,1.3166,6564,0.3573183,4198474,37.559973,126.963672
2,2,용답역,상대식,625,2,0.5,0,0,NA,NA,157986,0.41449,1462,0.0824781,1024216,37.561904,127.050899
1,3,지축역,섬식,449,2,1,1,1,NA,NA,102532,0.19797,743,0.0320842,443171,37.648048,126.913951
1,3,구파발역,섬식,3299,2,1,1,1,NA,NA,979024,2.04695,17216,0.6258959,7442678,37.636763,126.918821
1,3,연신내역,섬식,3277,2,1,1,1,1,0,2601023,5.31625,28838,1.2515002,15647650,37.619001,126.921008
1,3,불광역,상대식,4263,2,1,1,1,0,1,1533445,2.57607,15302,0.5365615,7156667,37.610469,126.929887
1,3,녹번역,섬식,3249,2,1,1,1,NA,NA,654823,1.38428,8589,0.3968476,4761727,37.600927,126.935756
1,3,홍제역,섬식,7220,3,1,2,2,NA,NA,1536408,2.56106,12537,0.5567683,7360197,37.589066,126.943736
2,3,무악재역,상대식,4024,3,1,1,1,NA,NA,334202,0.59806,3934,0.1168576,1562584,37.582299,126.950291
2,3,독립문역,섬식,3691,3,1,1,1,NA,NA,747585,1.22867,5903,0.2134608,3005060,37.574571,126.957748
2,3,경복궁역,섬식,8085,3,1,1,1,NA,NA,882075,1.88821,16709,0.8093998,9164894,37.575762,126.97353
2,3,안국역,섬식,8663,4,1,1,1,NA,NA,1327590,1.82955,19125,0.8010077,9520622,37.576477,126.985443
2,3,을지로3가역,섬식,6644,3,1,1,1,1,0,599515,1.0209,9400,0.2729436,3431041,37.566295,126.99191
2,3,동대입구역,섬식,5730,3,1,1,1,NA,NA,401370,0.69983,5544,0.3838145,4309498,37.559052,127.005602
2,3,약수역,섬식,6225,3,1,1,1,0,2,839826,1.67995,9128,0.4243026,5250847,37.55434,127.010655
1,3,금호역,섬식,3284,2,1,1,1,NA,NA,570342,0.90063,4902,0.2519876,3180281,37.548034,127.015872
1,3,옥수역,상대식,9064,2,1,1,1,NA,NA,614080,0.90056,4742,0.3070314,3774450,37.540685,127.017965
1,3,압구정역,상대식,3506,2,1,2,2,NA,NA,1544136,2.07695,15592,1.0597344,12349175,37.527072,127.028461
1,3,신사역,상대식,4236,2,1,2,2,NA,NA,710018,1.41925,8417,1.0314696,11166639,37.516334,127.020114
1,3,잠원역,상대식,3503,2,1,1,1,NA,NA,373928,0.45011,2950,0.1830576,2249515,37.512759,127.01122
2,3,고속터미널역,상대식,13488,3,1,1,1,0,1,1865212,3.28407,24618,2.0050662,22244281,37.50481,127.004943
2,3,교대역,섬식,6589,3,1,0,0,0,1,705527,1.14482,11704,0.4497486,5317495,37.493415,127.01408
2,3,남부터미널역,상대식,4490,3,1,1,1,NA,NA,1306441,2.27514,23419,1.1343333,12877288,37.485013,127.016189
1,3,양재역,상대식,3587,2,1,2,2,NA,NA,1643307,2.75081,27420,1.2698126,14616514,37.484147,127.034631
1,3,매봉역,상대식,3934,2,1,1,1,NA,NA,565864,0.89228,6187,0.3418103,4073195,37.486947,127.046769
2,3,대치역,섬식,5142,4,1,1,1,NA,NA,646841,0.78155,6688,0.380494,4529936,37.494612,127.063642
2,3,학여울역,상대식,4942,5,1,1,1,NA,NA,162251,0.27716,1742,0.0907617,1097584,37.496663,127.070594
2,3,대청역,상대식,4552,3,1,1,1,NA,NA,500884,1.19999,7696,0.3088132,3709015,37.493514,127.079532
2,3,일원역,상대식,7565,3,1,1,1,NA,NA,551805,1.12396,6065,0.2573872,3238073,37.483681,127.08439
1,3,수서역,상대식,5691,2,1,2,2,NA,NA,880598,2.66434,19462,0.5249288,6396320,37.487371,127.10188
1,3,가락시장역,상대식,9042,4,1,3,3,1,0,727898,1.13777,8038,0.2815326,3657001,37.492522,127.118234
1,3,경찰병원역,상대식,6914,3,1,2,2,NA,NA,385117,0.76129,5079,0.2298788,2760034,37.495918,127.12454
2,3,오금역,상대식,11883,4,1,1,1,1,0,266108,0.57406,4140,0.219756,2521074,37.502162,127.128111
2,3,도곡역,상대식,8875,4,1,1,1,NA,NA,311069,0.43414,3082,0.2110312,2464795,37.490858,127.055381
1,3,충무로역,섬식,0,4,0,0,0,0,1,0,0,0,0,0,37.561243,126.99428
2,3,종로3가역,섬식,9055,4,1,1,1,0,3,516820,1.24088,9048,0.2621026,3261934,37.571607,126.991806
2,4,당고개역,상대식,4964,3,1,1,1,NA,NA,896022,2.08586,12580,0.3877136,4981744,37.670272,127.079066
2,4,상계역,상대식,4636,3,1,1,1,NA,NA,1088375,3.0332,14243,0.6602845,7994540,37.660878,127.073572
1,4,노원역,상대식,3223,2,1,2,2,0,0,841424,2.448,14811,0.7346272,8432496,37.655128,127.061368
1,4,창동역,상대식,2689,3,0,2,0,NA,NA,1800563,3.89076,55513,0.8727859,10917498,37.653166,127.047731
1,4,쌍문역,상대식,3709,2,1,1,1,NA,NA,1631591,3.61979,24346,1.0365132,12358702,37.648627,127.034709
1,4,수유역,상대식,3951,2,1,1,1,NA,NA,2323720,5.69897,29774,1.3079769,15973386,37.638052,127.025732
1,4,미아역,상대식,3702,2,1,1,1,NA,NA,1222944,3.03222,12018,0.5339462,6865628,37.62667,127.025983
1,4,미아사거리역,상대식,4203,2,1,1,1,NA,NA,1798457,4.20206,17511,0.954413,11762793,37.613292,127.030053
1,4,길음역,섬식,3742,2,1,2,2,NA,NA,1387635,2.70519,16174,0.7980166,9638320,37.603407,127.025053
1,4,성신여대입구역,상대식,3967,2,1,2,2,NA,NA,1000090,2.1751,14187,0.8413921,9631521,37.592624,127.016403
1,4,한성대입구역,섬식,3246,2,1,2,2,NA,NA,797744,1.44907,10961,0.5174262,6116913,37.588458,127.006221
